Job ID Internshala,Job Title,Company Name,Required Skills,Website Link,Posted on,Job Description,Job Location,Salary,Employment Type
2384792,Influencer Marketing,Waaree Energies Limited,['No Skills Listed'],https://internshala.com/internship/detail/influencer-marketing-internship-in-mumbai-at-waaree-energies-limited1704709089,09/01/2024,None," 5,000-10,000 /month",Mumbai,Internship
2383436,Campus Ambassador,Physics Wallah,['No Skills Listed'],https://internshala.com/internship/detail/campus-ambassador-programme-at-physics-wallah1704525056,09/01/2024,None,Performance Based,Work From Home,Internship
2376383,Social Media Marketing,Bestdesk IT Solutions Private Limited,['No Skills Listed'],https://internshala.com/internship/detail/social-media-marketing-internship-in-jaipur-at-bestdesk-it-solutions-private-limited1703834555,07/01/2024,None," 7,000-10,000 /month",Jaipur,Internship
2383077,Business Development (Sales),Decathlon Sports India,['No Skills Listed'],https://internshala.com/internship/detail/business-development-sales-internship-in-hyderabad-at-decathlon-sports-india1704461393,09/01/2024,None," 10,000 /month",Hyderabad,Internship
2381842,Social Media Marketing,ITM Group Of Institutions,['No Skills Listed'],https://internshala.com/internship/detail/social-media-marketing-internship-in-raipur-at-itm-group-of-institutions1704366327,09/01/2024,None," 7,500 /month",Raipur,Internship
2378835,Community Management,Foundit India,['No Skills Listed'],https://internshala.com/internship/detail/community-management-internship-in-noida-at-foundit-india1704179911,09/01/2024,None," 12,000 /month",Noida,Internship
2377878,Marketing,Bestdesk IT Solutions Private Limited,['No Skills Listed'],https://internshala.com/internship/detail/marketing-internship-in-jaipur-at-bestdesk-it-solutions-private-limited1704093500,09/01/2024,None," 7,000 /month",Jaipur,Internship
2377859,Social Media Marketing,Bestdesk IT Solutions Private Limited,['No Skills Listed'],https://internshala.com/internship/detail/social-media-marketing-internship-in-jaipur-at-bestdesk-it-solutions-private-limited1704092633,09/01/2024,None," 7,000-10,000 /month",Jaipur,Internship
2374976,Lead Generation,MyWays.ai,['No Skills Listed'],https://internshala.com/internship/detail/lead-generation-part-time-job-internship-at-noida-in-mywaysai1703677663,09/01/2024,None," 2,000 /month",Noida,Internship
2374530,Influencer Marketing,Nitya Srivastava,['No Skills Listed'],https://internshala.com/internship/detail/influencer-marketing-internship-in-pune-at-nitya-srivastava1703657030,09/01/2024,None," 5,000 /month",Pune,Internship
2374052,Corporate Communications,RPG,['No Skills Listed'],https://internshala.com/internship/detail/corporate-communications-internship-in-mumbai-at-rpg1703659912,09/01/2024,None," 10,000 /month",Mumbai,Internship
2385861,Digital Marketing,Edgistify - OptiSupply Chain Solution Private Limited,['No Skills Listed'],https://internshala.com/internship/detail/digital-marketing-internship-in-thane-at-edgistify-optisupply-chain-solution-private-limited1704797434,09/01/2024,None," 5,000 /month",Thane,Internship with job offer
2385819,Community Management,Zimeshare Technologies (OPC) Private Limited,['No Skills Listed'],https://internshala.com/internship/detail/community-management-internship-in-noida-at-zimeshare-technologies-opc-private-limited1704795458,09/01/2024,None," 10,000 /month",Noida,Internship
2386142,Digital Marketing,The Affordable Organic Store,['No Skills Listed'],https://internshala.com/internship/detail/digital-marketing-internship-in-hyderabad-at-the-affordable-organic-store1704814258,09/01/2024,None," 3,000 /month",Hyderabad,Internship
2385952,Online Marketing,Ulead,['No Skills Listed'],https://internshala.com/internship/detail/online-marketing-work-from-home-job-internship-at-ulead1704800964,09/01/2024,None," 1,000-2,000 /month",Work From Home,Internship with job offer
