Job ID Naukri,Job Title,Company Name,Required Skills,Website Link,Posted on,Job Description,Experience Required,Salary,Job Location,Employment Type
080124006348,Digital Marketing Executive,P Chhajed And Co Llp,"Social Media Marketing,Online Branding,Online Advertising,Digital Advertising,Social Media Content Marketing,Social Networking,Digital Media,Social Media Integration",www.naukri.com/job-listings-digital-marketing-executive-p-chhajed-and-co-llp-ahmedabad-0-to-1-years-080124006348,08/01/2024,Digital Marketing certification is a plus  Experience in Social Media Marketing  Experience with SEO and SEM  Proven experience working in a similar capacity,0-1 Yrs,1-2 Lacs PA,Ahmedabad(Paldi),"Full Time, Permanent"
110223004493,Digital Marketing Executive,BOX N Freight Logistics Solution,"digital marketing,google adwords,seo,AdWords,Google,Digital,Marketing",www.naukri.com/job-listings-digital-marketing-executive-box-n-freight-logistics-solution-mumbai-all-areas-0-to-3-years-110223004493,08/01/2024,"Experience in building social media communities & general marketing experience  Collaborate with designers to improve the use of the r experience  Proven experience as Digital Marketing Executive or similar role  Experience with B2C social,media,Google Adwords and email campaigns and SEO / SEM  Skills and experience in creative content writing",0-3 Yrs,3-6 Lacs PA,Mumbai (All Areas),"Full Time, Permanent"
080124500877,Digital Marketing Executive,Coepd,"Market analysis,Media management,PPC,Bidding,Google Analytics,Email marketing,Social media,Market research",www.naukri.com/job-listings-digital-marketing-executive-coepd-hyderabad-secunderabad-0-to-3-years-080124500877,08/01/2024,"Qualifications:  . Bachelors degree in Marketing,Business,or a related field  0-2 years of proven experience in digital marketing,preferably in [industry]",0-3 Yrs,Not disclosed,Hyderabad,"Full Time, Permanent"
080124500876,Digital Marketing Executive,Coepd,"Market analysis,Media management,PPC,Bidding,Google Analytics,Email marketing,Social media,Market research",www.naukri.com/job-listings-digital-marketing-executive-coepd-visakhapatnam-vizag-hyderabad-secunderabad-0-to-2-years-080124500876,08/01/2024,"Qualifications:  . Bachelors degree in Marketing,Business,or a related field  0-2 years of proven experience in digital marketing,preferably in [industry]",0-2 Yrs,Not disclosed,"Hyderabad, Visakhapatnam","Full Time, Permanent"
090124008278,Digital Marketing Executive,Precision Business,"SMO,Email Marketing,AdWords,PPC,SMM,Google AdWords,Email,Digital",www.naukri.com/job-listings-digital-marketing-executive-precision-business-insights-hyderabad-0-to-2-years-090124008278,09/01/2024,"Role & responsibilities     Promotion of research reports through organic search engines and improve ranking of Particular Report, Social Media Optimization, Email Marketing and PPC. Develop and Implement Paid (CPC/AdWords) Campaigns Free and Paid PR Submissions Link Building - Responsible to do all possible relevant off-page activities to boost traffic for the website Responsible to generate leads as per targets given Social Media Marketing: LinkedIn, Xing, Twitter and Google+ Responsible to do Email Marketing according to target audience Responsible to improve email database Responsible to improve click rate and open rate Tracking leads through Analytics and reporting daily and monthly lead count details Competitor Analysis for Paid, Organic and Social Media results Keyword research using Google keyword planner to find the best relevant keywords for AdWords Generate potential leads through the web for market research reports through various Off-Page and On-Page techniques. Maintaining report as well as company links at the top of the Search Engine Results Page (SERP). Planning & strategy development for activities to boost leads (Organic & Paid) through targeted audience. Creating off-page strategies to improve organic visibility through various search engines. Maintaining Ad words ad campaigns and bid Maintaining Strategy. Optimizing ad campaigns.  Perks and benefits     Competitive salary Attractive incentive payout",0-2 Yrs,1.5-2.5 Lacs PA,Hyderabad,"Full Time, Permanent"
080124903448,Freshers - Digital Marketing Executives Trainee,Clininfotech,"Digital Marketing,content writing,Online Marketing Strategies,Social Media Marketing,Marketing,Marketing Strategies,Writing,Content",www.naukri.com/job-listings-freshers-digital-marketing-executives-trainee-clininfotech-warangal-bangalore-bengaluru-0-to-3-years-080124903448,08/01/2024,"Any Graduate with good communication skills eligible to applyLead Generation,Responsible for Implementing Online Marketing StrategiesHandling Social Media Marketing (Fb,Instagram,LinkedIn,Twitter,telegram 0-2 years experience as a Digital Marketing Executive or similar role  Skills and experience in creative content writing",0-3 Yrs,Not disclosed,"Bengaluru, Warangal","Full Time, Permanent"
080124903445,Freshers - Digital Marketing Executives Trainee,Clininfotech,"Digital Marketing,content writing,Online Marketing Strategies,Social Media Marketing,Marketing,Online marketing,Media,Social media",www.naukri.com/job-listings-freshers-digital-marketing-executives-trainee-clininfotech-vijayawada-visakhapatnam-vizag-0-to-3-years-080124903445,08/01/2024,"Any Graduate with good communication skills eligible to applyLead Generation,Responsible for Implementing Online Marketing StrategiesHandling Social Media Marketing (Fb,Instagram,LinkedIn,Twitter,telegram) 0-2 years experience as a Digital Marketing Executive or similar role  Skills and experience in creative content writing",0-3 Yrs,Not disclosed,"Visakhapatnam, Vijayawada","Full Time, Permanent"
080124903442,Freshers - Digital Marketing Executives Trainee,Clininfotech,"Digital Marketing,content writing,Online Marketing Strategies,Social Media Marketing,Marketing,Digital,Marketing Strategies,Writing",www.naukri.com/job-listings-freshers-digital-marketing-executives-trainee-clininfotech-guntur-hyderabad-secunderabad-0-to-3-years-080124903442,08/01/2024,"Any Graduate with good communication skills eligible to applyLead Generation,Responsible for Implementing Online Marketing StrategiesHandling Social Media Marketing (Fb,Instagram,LinkedIn,Twitter,telegram)Looking for Immediate joiners 0-2 years experience as a Digital Marketing Executive or similar role  Skills and experience in creative content writing",0-3 Yrs,Not disclosed,"Guntur, Hyderabad","Full Time, Permanent"
080124902522,Digital Marketing Manager and Performance Analytics,Ratan Creations,"Digital Marketing,Performance Marketing,Affiliate Marketing,Internet Marketing,Digital Campaigns,Online Marketing,Social Media Marketing,Web Marketing",www.naukri.com/job-listings-digital-marketing-manager-and-performance-analytics-ratan-creations-rajkot-gujarat-5-to-10-years-080124902522,08/01/2024,Preferred candidate profile  Good verbal and written communication skill  . Good knowledge of all different digital marketing channels Good knowledge and experience with online marketing tools and best practice,5-10 Yrs,6-8.5 Lacs PA,Rajkot,"Full Time, Permanent"
060124004081,Digital Marketing Executive,Meritus Management Service,"Social Media Marketing,Online Branding,Online Marketing,SEO,Marketing,Branding,Social media,Media marketing",www.naukri.com/job-listings-digital-marketing-executive-meritus-management-service-nagpur-maharashtra-0-to-3-years-060124004081,06/01/2024,"contributing ideas to marketing campaigns.
conducting research and analyzing data to identify and define audiences.
compiling, distributing and presenting ideas, information and strategies.",0-3 Yrs,"50,000-1.75 Lacs PA",Nagpur,"Full Time, Permanent"
