Job ID TimesJob,Job Title,Company Name,Required Skills,Website Link,Posted on,Job Description,Experience Required,Job Location
69164856 ,Digital Marketing Executive,infibusiness solution,"digitalmarketing,digitalmarketingexecutive,onlinemarketing,smm,seo",https://www.timesjobs.com/job-detail/digital-marketing-executive-infibusiness-solution-vadodara-1-to-3-yrs-jobid-__PLUS__zeC9ujQVBBzpSvf__PLUS__uAgZw==&source=srp,08/01/2024,"Job Description:
Digital Marketing Executive We are considering an applicant for the Digital Marketing Field to help with the planning ,  execution ,  and optimization of our online marketing ... More Details",1 - 3 yrs,Vadodara
69786271 ,Digital Marketing Executive,"Individual
     (More Jobs)","digitalmarketingexecutive,digitalmarketingmanager,DigitalMarketing,webdevelopment,branding",https://www.timesjobs.com/job-detail/digital-marketing-executive-individual-kolkata-2-to-6-yrs-jobid-s__SLASH__HEDJyFkAZzpSvf__PLUS__uAgZw==&source=srp,06/01/2024,"Job Description:
Comapny : A growing Real estate GroupLocation : KolkataPosition : Executive / Manager Digital MarketingCtc to be offerred : 4 Lacs to 7 LacsExperience required : Minimum two y... More Details",2 - 6 yrs,Kolkata
67709467 ,Digital Marketing Manager / Strategist,globaledx learning and technology solutions pvt ltd,"digitalmarketing,marketing,emailmarketing,displayadvertising,digitalmarketingmanager,seo,socialmedia",https://www.timesjobs.com/job-detail/digital-marketing-manager-strategist-globaledx-learning-and-technology-solutions-pvt-ltd-hyderabad-secunderabad-5-to-10-yrs-jobid-MqEUQrJ0jB1zpSvf__PLUS__uAgZw==&source=srp,07/01/2024,"Job Description:
Skills Required: -Experience in SEO /  SEM ,  Marketing databases ,  Email Marketing ,  Social media and Display Advertising.Highly creative in identifying target audiences an... More Details",5 - 10 yrs,Hyderabad/Secunderabad
69164760 ,Digital Marketing Analyst,socialbeat,"digitalmarketing,gtm,website,competitoranalysis",https://www.timesjobs.com/job-detail/digital-marketing-analyst-socialbeat-gurgaon-chennai-2-to-4-yrs-jobid-nPwIzMe4n4lzpSvf__PLUS__uAgZw==&source=srp,08/01/2024,"Job Description:
Position SummaryA Digital Marketing Analysts job is to analyse the companys digital marketing performance and propose actionable strategies to improve digital marketing perfor... More Details",2 - 4 yrs,"Gurgaon,  Chennai"
69299479 ,Digital Marketing Executive,webindia master,"digitalmarketing,digitalmarketingexecutive,website,integratedmarketing,marketingcampaigns,campaigns,seo,socialmedia",https://www.timesjobs.com/job-detail/digital-marketing-executive-webindia-master-ghaziabad-2-to-3-yrs-jobid-kkWkW5rlJrFzpSvf__PLUS__uAgZw==&source=srp,06/01/2024,"Job Description:
Digital Marketing ExecutiveJob Description Managing digital marketing initiatives and integrated marketing plans related to business growth using paid and organic channels lik... More Details",2 - 3 yrs,Ghaziabad
69457703 ,Digital Marketing Manager,alliance recruitment agency,"digitalmarketing,customersegmentation,campaigns,seo,socialmedia,emailmarketing,ppc,marketing,digitalmedia,digitalmarketingmanager,linkbuilding,googleanalytics",https://www.timesjobs.com/job-detail/digital-marketing-manager-alliance-recruitment-agency-ahmedabad-5-to-8-yrs-jobid-rlG4P2jkH0VzpSvf__PLUS__uAgZw==&source=srp,09/01/2024,"Job Description:
Planning ,  briefing ,  development  &  implementation of digital marketing strategy  /  campaigns across digital mediaUnderstanding how to use all research and lead generatio... More Details",5 - 8 yrs,Ahmedabad
69461720 ,Digital Marketing Executive,Rudder Analytics,"digitalmarketing,digitalmarketingexecutive,website,marketingexecutive,searchengineoptimization,searchenginemarketing,socialmediamarketing,contentmarketing,socialmedia,websitemanagement",https://www.timesjobs.com/job-detail/digital-marketing-executive-rudder-analytics-pune-0-to-2-yrs-jobid-aFk5skRpEYZzpSvf__PLUS__uAgZw==&source=srp,09/01/2024,"Job Description:
Academics UG: Any Graduation  ( BBA / BMS preferred )  ,  PG: MBA Preferred ,  Post-Graduation is not compulsoryJob Profile and Responsibilities Responsibilities: Digital Mark... More Details",0 - 2 yrs,Pune
69142336 ,Digital Marketing and Web Developer,INFINITY GROUP,"digitalmarketing,marketingskills,campaigns,smo,contentmarketing,seo,strategicmarketing,ppc,website,mediastrategy,marketing,productmarketing,googleanalytics",https://www.timesjobs.com/job-detail/digital-marketing-and-web-developer-infinity-group-delhi-delhi-ncr-0-to-3-yrs-jobid-HsznTiku9j1zpSvf__PLUS__uAgZw==&source=srp,07/01/2024,"Job Description:
Desired Candidate Skills:- Passionate ,  Clear Thinker ,  Hardworking ,  Should be able to work in deadlines.- Managing B2B Paid Media Strategy and Executing campaigns that ar... More Details",0 - 3 yrs,"Delhi,  Delhi/NCR"
69786591 ,"""DIGITAL MARKETING EXECUTIVE""","Anavrin Adviser Pvt Ltd
     (More Jobs)","SocialMediaMarketing,EmailMarketing,GoogleAdwords,InternetMarketing,GoogleAnalytics,PayPerClick,SocialMediaOptimization,Seo,Ppc,OnlineMarketing",https://www.timesjobs.com/job-detail/digital-marketing-executive-anavrin-adviser-pvt-ltd-delhi-1-to-3-yrs-jobid-BXJwc5cQBm9zpSvf__PLUS__uAgZw==&source=srp,09/01/2024,"Job Description:
The roles and responsibilities of a Digital Marketing Executive can vary depending on the organization ,  its industry ,  and the specific requirements of the role. However , ... More Details",1 - 3 yrs,Delhi
69410887 ,Digital Marketing Manager,Queppelin Technology Solutions Pvt. Ltd.,"algorithms,css,javascript,html",https://www.timesjobs.com/job-detail/digital-marketing-manager-queppelin-technology-solutions-pvt-ltd-gurgaon-3-to-6-yrs-jobid-dNjOmcCCF2VzpSvf__PLUS__uAgZw==&source=srp,08/01/2024,"Job Description:
Job descriptionProven experience of Local  &  International SEO.Solid understanding of performance marketing ,  conversion ,  and online customer acquisitionIn-depth experienc... More Details",3 - 6 yrs,Gurgaon
